step,true_count,mean_std,std_std,error_std,mean_imp,std_imp,error_imp,mean_cmp,std_cmp,error_cmp
1,4889,4871.93,147.24,0.35,4697.23,116.23,3.92,4823.21,145.77,1.35
2,9727,9714.05,269.39,0.13,9376.97,260.04,3.60,9616.91,266.69,1.13
3,14555,14540.57,557.11,0.10,14107.26,540.51,3.08,14395.16,551.54,1.10
4,19363,19581.78,483.30,1.13,18998.25,468.90,1.88,19385.97,478.46,0.12
5,24145,24199.21,745.81,0.22,23596.65,727.24,2.27,23957.22,738.35,0.78
6,28936,29164.65,924.60,0.79,28438.45,901.58,1.72,28873.00,915.35,0.22
7,33727,33476.64,1165.45,0.74,32643.07,1136.43,3.21,33141.87,1153.80,1.73
8,38532,37779.67,1292.46,1.95,36838.95,1260.28,4.39,37401.87,1279.54,2.93
9,43337,42631.65,1358.91,1.63,41739.18,1390.63,3.69,42205.34,1345.32,2.61
10,48115,47146.84,1246.63,2.01,46203.90,1221.70,3.97,46675.37,1234.16,2.99
11,52891,51613.53,1293.17,2.42,50581.26,1267.31,4.37,51097.39,1280.24,3.39
12,57649,56515.01,1260.02,1.97,55384.71,1234.82,3.93,55949.86,1247.42,2.95
13,62420,60986.19,1716.29,2.30,59153.51,1147.95,5.23,60376.33,1699.13,3.27
14,67185,65942.94,1713.47,1.85,63331.60,1645.62,5.74,65283.51,1696.34,2.83
15,71926,71252.46,1331.27,0.94,68430.86,1278.55,4.86,70539.94,1317.96,1.93
16,76661,75803.94,1199.25,1.12,72802.10,1151.76,5.03,75045.90,1187.25,2.11
17,81394,80498.26,1389.18,1.10,77145.96,963.65,5.22,79693.27,1375.29,2.09
18,86130,84907.94,1695.21,1.42,79881.39,1594.86,7.25,84058.86,1678.26,2.40
19,90875,90104.50,1696.13,0.85,84770.32,1595.72,6.72,89203.46,1679.17,1.84
20,95636,94957.10,1950.93,0.71,89335.64,1835.43,6.59,94007.53,1931.42,1.70
