step,true_count,mean_estimate,std_estimate,relative_error
1,4895,4855.47,115.45,0.81
2,9712,9770.25,368.16,0.60
3,14551,14669.17,454.61,0.81
4,19360,19322.94,588.76,0.19
5,24152,24146.99,572.29,0.02
6,28969,28899.10,808.00,0.24
7,33786,33817.61,1116.96,0.09
8,38558,39153.44,1007.96,1.54
9,43342,43781.18,1428.37,1.01
10,48096,48969.17,1181.79,1.82
11,52878,53542.62,1421.18,1.26
12,57669,58639.62,1664.52,1.68
13,62460,63461.54,2049.03,1.60
14,67207,68064.95,2118.36,1.28
15,71981,73214.52,2315.86,1.71
16,76746,77627.05,2609.82,1.15
17,81491,82427.26,3222.08,1.15
18,86261,86864.95,3529.98,0.70
19,91021,91646.66,3552.19,0.69
20,95768,96473.79,4321.06,0.74
