Size,DataType,SortType,Time
10000,random,intro,0.007780694961547851
10000,random,quick,0.007406187057495117
10000,reverse_sorted,intro,0.005540037155151367
10000,reverse_sorted,quick,0.00537562370300293
10000,nearly_sorted,intro,0.005159807205200195
10000,nearly_sorted,quick,0.005582475662231445
25000,random,intro,0.01328420639038086
25000,random,quick,0.014734745025634766
25000,reverse_sorted,intro,0.011330509185791015
25000,reverse_sorted,quick,0.012359333038330079
25000,nearly_sorted,intro,0.011165618896484375
25000,nearly_sorted,quick,0.014092731475830077
50000,random,intro,0.02920083999633789
50000,random,quick,0.03147974014282227
50000,reverse_sorted,intro,0.02295827865600586
50000,reverse_sorted,quick,0.025023889541625977
50000,nearly_sorted,intro,0.024017906188964842
50000,nearly_sorted,quick,0.025704383850097656
75000,random,intro,0.04096136093139648
75000,random,quick,0.041796541213989256
75000,reverse_sorted,intro,0.032418680191040036
75000,reverse_sorted,quick,0.04182543754577637
75000,nearly_sorted,intro,0.032416582107543945
75000,nearly_sorted,quick,0.03587307929992676
100000,random,intro,0.050185012817382815
100000,random,quick,0.05680975914001465
100000,reverse_sorted,intro,0.11607651710510254
100000,reverse_sorted,quick,0.10536794662475586
100000,nearly_sorted,intro,0.05130782127380371
100000,nearly_sorted,quick,0.0657188892364502
